Motor_Name,PropD,Thrust50,Thrust100,Current50,Current100,Power50,Power100,Weight (g)
KDE3520XF-400,15.5,550,1810,2.4,12.4,41,215,245
KDE3520XF-400,18.5,910,2630,4.2,19.8,73,344,245
U8 II Pro,27,3000,8442,5.95,27.64,283,1289,287
U8 II Pro,28,3307,9122,6.71,31.11,317,1450,287
U8 Lite L KV95,29,2604,8521,4.66,27,222,1276,280
U8 Lite L KV95,30,2928,9426,5.31,31.89,253,1504,280
U8 Lite L KV95,32,3672,10611,6.89,38.15,328,1794,280
U5 KV400,14,800,2030,3.4,13.7,75.48,304.14,195
U5 KV400,15,990,2480,4.3,17.2,95.45,381.84,195
U5 KV400,16,1200,2850,5.2,20,115.44,444,195
KDE7215XF-135,24.5,1060,3740,2.8,14.8,73,386,640
KDE7215XF-135,27.5,1520,5420,4,23,104,600,640
KDE7215XF-135,30.5,2210,7440,5.8,33.9,151,884,640
KDE4215XF-465,15.5,1670,5360,8.5,45.2,221,1179,250
KDE4215XF-465,18.5,2470,7100,13,68.6,339,1790,250
U10 II KV100,29,1636,5059,3.3,15.6,109,509,415
U10 II KV100,30,1934,5717,3.9,18.2,128,593,415
U10 II KV100,32,2257,6430,4.9,22.1,159,722,415
U7-V2.0 KV280,18,980,3303,3.5,20.5,84,492,317
U7-V2.0 KV280,20,1267,4078,4.8,27.4,115,658,317
U7-V2.0 KV280,22,1565,4640,6.2,35.1,149,842,317
KDE5215XF-330,15.5,1040,3620,4.6,22.5,120,587,360
KDE5215XF-330,18.5,1700,5670,7.3,37.9,190,989,360
KDE5215XF-330,21.5,2740,8270,12.5,65.5,326,1709,360
MN501-S KV240,14,1282,3891,4.2,18.52,204,899,170
MN501-S KV240,15,1605,4667,5.3,23.11,258,1121,170
MN501-S KV240,22,1339,4187,4.75,25.21,116,612,170
MN501-S KV360,17,1256,3837,7.4,37.74,180,916,175
MN501-S KV360,18,1450,4644,7.09,38.43,170,923,175
MN501-S KV300,20,1382,4284,5.43,27.75,132,673,170
MN501-S KV300,22,1824,5277,7.4,37.74,180,916,170
